"pepfar_id","census_ids_contributing","total_coverage","n_census_polys","match_type","crosswalk_id","pcts_of_pepfar","pepfar_name","census_name"
1,23,0.607394924409637,1,"partial","cw_10",0.607394924409637,"Selibe Phikwe District","SELIBE PHIKWE"
2,6,0.326554057762345,1,"partial","cw_11",0.326554057762345,"Francistown District","FRANCISTOWN"
3,7,0.758843744572204,1,"partial","cw_12",0.758843744572204,"Gaborone District","GABORONE"
4,15,0.998781654028253,1,"partial","cw_13",0.998781654028253,"Lobatse District","LOBATSE"
5,8,0.998502912842097,2,"many-to-one","cw_14",0.544409606733318,"Gantsi District","GHANZI"
5,4,0.998502912842097,2,"many-to-one","cw_14",0.45409330610878,"Gantsi District","CENTRAL KGALAGADI GAME RESERVE"
6,24,0.86468823253734,1,"partial","cw_15",0.86468823253734,"Palapye District","SEROWE PALAPYE"
8,26,0.972092394984278,2,"many-to-one","cw_16",0.915355748679523,"Southern District","SOUTHERN"
8,1,0.972092394984278,2,"many-to-one","cw_16",0.0567366463047549,"Southern District","BAROLONG"
9,26,0.977608039107071,1,"partial","cw_17",0.977608039107071,"Moshupa District","SOUTHERN"
10,2,0.974066489830088,1,"partial","cw_18",0.974066489830088,"Bobirwa District","BOBONONG"
11,26,0.995732379453283,2,"many-to-one","cw_19",0.985090413410714,"Jwaneng District","SOUTHERN"
11,9,0.995732379453283,2,"many-to-one","cw_19",0.010641966042569,"Jwaneng District","JWANENG"
12,21,0.885036736930638,1,"one-to-one","cw_9",0.885036736930638,"North East District","NORTH EAST"
13,25,0.799944259927318,3,"many-to-one","cw_20",0.725638659159989,"South East District","SOUTH EAST"
13,7,0.799944259927318,3,"many-to-one","cw_20",0.0630035862741221,"South East District","GABORONE"
13,15,0.799944259927318,3,"many-to-one","cw_20",0.0113020144932063,"South East District","LOBATSE"
14,13,0.847677455032052,1,"partial","cw_21",0.847677455032052,"Kweneng East District","KWENENG EAST"
15,18,0.997149849457715,3,"many-to-one","cw_22",0.63144270359015,"Ngamiland District","NGAMILAND EAST"
15,19,0.997149849457715,3,"many-to-one","cw_22",0.242661058437344,"Ngamiland District","NGAMILAND WEST"
15,17,0.997149849457715,3,"many-to-one","cw_22",0.12304608743022,"Ngamiland District","NGAMILAND DELTA"
16,11,0.876712969147886,1,"one-to-one","cw_4",0.876712969147886,"Kgalagadi South District","KGALAGADI SOUTH"
17,12,0.936527151342521,1,"one-to-one","cw_5",0.936527151342521,"Kgatleng District","KGATLENG"
18,3,0.888889282263659,2,"many-to-one","cw_1",0.881788349607213,"Boteti District","BOTETI"
18,22,0.888889282263659,2,"many-to-one","cw_1",0.0071009326564459,"Boteti District","ORAPA"
19,5,0.971601721429211,1,"one-to-one","cw_2",0.971601721429211,"Chobe District","CHOBE"
20,28,0.919305976246245,3,"many-to-one","cw_23",0.85071700192712,"Tutume District","TUTUME"
20,24,0.919305976246245,3,"many-to-one","cw_23",0.0650786205834127,"Tutume District","SEROWE PALAPYE"
20,27,0.919305976246245,3,"many-to-one","cw_23",0.00351035373571215,"Tutume District","SOWA TOWN"
21,24,0.973464436066308,1,"partial","cw_24",0.973464436066308,"Serowe District","SEROWE PALAPYE"
22,14,0.939258216779371,1,"one-to-one","cw_6",0.939258216779371,"Kweneng West District","KWENENG WEST"
23,16,0.870694582543959,1,"one-to-one","cw_7",0.870694582543959,"Mahalapye District","MAHALAPYE"
24,10,0.870030522553972,1,"one-to-one","cw_3",0.870030522553972,"Kgalagadi North District","KGALAGADI NORTH"
25,1,0.980742807760333,2,"many-to-one","cw_25",0.857354106157704,"Goodhope District","BAROLONG"
25,26,0.980742807760333,2,"many-to-one","cw_25",0.123388701602629,"Goodhope District","SOUTHERN"
26,20,0.871095289552538,1,"one-to-one","cw_8",0.871095289552538,"Mabutsane District","NGWAKETSE WEST"
27,19,0.991614239226212,2,"many-to-one","cw_26",0.907110574649332,"Okavango District","NGAMILAND WEST"
27,17,0.991614239226212,2,"many-to-one","cw_26",0.0845036645768793,"Okavango District","NGAMILAND DELTA"
