"pepfar_id","census_ids_contributing","total_coverage","n_census_polys","match_type","crosswalk_id","pcts_of_pepfar","pepfar_name","census_name"
4,7,0.854946415916418,1,"one-to-one","cw_5",0.854946415916418,"Nkhotakota District","NKHOTAKOTA"
5,28,0.900938714414223,1,"one-to-one","cw_16",0.900938714414223,"Nsanje District","NSANJE"
6,27,0.882821851480944,1,"one-to-one","cw_15",0.882821851480944,"Neno District","NENO"
7,16,0.858574441482853,1,"one-to-one","cw_9",0.858574441482853,"Nkhata Bay District","NKHATA BAY"
8,12,0.819233486155827,1,"partial","cw_19",0.819233486155827,"Karonga District","KARONGA"
9,3,0.935788262428391,1,"one-to-one","cw_2",0.935788262428391,"Kasungu District","KASUNGU"
10,1,0.912488094347821,1,"one-to-one","cw_1",0.912488094347821,"Dedza District","DEDZA"
13,11,0.872223812268284,1,"one-to-one","cw_7",0.872223812268284,"Chitipa District","CHITIPA"
15,21,0.948778721445174,1,"one-to-one","cw_11",0.948778721445174,"Chikwawa District","CHIKWAWA"
16,26,0.831018519361714,1,"partial","cw_20",0.831018519361714,"Mwanza District","MWANZA"
17,14,0.924482522124559,2,"many-to-one","cw_8",0.91165797262479,"Mzimba District","MZIMBA"
17,15,0.924482522124559,2,"many-to-one","cw_8",0.012824549499769,"Mzimba District","MZUZU CITY"
18,6,0.91723767032599,1,"one-to-one","cw_4",0.91723767032599,"Mchinji District","MCHINJI"
19,25,0.906586351497604,1,"one-to-one","cw_14",0.906586351497604,"Mulanje District","MULANJE"
20,23,0.923537289963173,1,"one-to-one","cw_12",0.923537289963173,"Machinga District","MACHINGA"
21,24,0.879004773415638,1,"one-to-one","cw_13",0.879004773415638,"Mangochi District","MANGOCHI"
22,13,1.00000000000944,1,"partial","cw_21",1.00000000000944,"Likoma District","LIKOMA"
23,4,0.928532735216228,2,"many-to-one","cw_3",0.868687585013317,"Lilongwe District","LILONGWE"
23,5,0.928532735216228,2,"many-to-one","cw_3",0.0598451502029116,"Lilongwe District","LILONGWE CITY"
24,17,0.858030299107824,1,"one-to-one","cw_10",0.858030299107824,"Rumphi District","RUMPHI"
26,31,0.930799213096854,2,"many-to-one","cw_18",0.918707640915987,"Zomba District","ZOMBA"
26,32,0.930799213096854,2,"many-to-one","cw_18",0.0120915721808663,"Zomba District","ZOMBA CITY"
27,30,0.928288061753371,1,"one-to-one","cw_17",0.928288061753371,"Thyolo District","THYOLO"
28,10,0.880014407725827,1,"one-to-one","cw_6",0.880014407725827,"Salima District","SALIMA"
